"dataset.train","dataset.test","nsamples.test","strata","pearson","spearman","cor_success","rmse","mae","coeff_det","ndcg10","ndcg20","ndcg50","ndcg100","time_per_fold","nsamples.train","regressor","markers","extra_covariates","repetition","folds"
"Cauline Leaf number (CL) split=6 train","Cauline Leaf number (CL) split=6 test",90,"no_strata",0.657746601642678,0.641890399320652,1,4.27921427738594,2.92494519523057,0.404543204565784,0.84702390897755,0.855655276371344,0.875703045486625,0.942612724102898,2.21400000015274,814,"rrBLUP-kin",814,"",1,0
"Cauline Leaf number (CL) split=6 train","Cauline Leaf number (CL) split=6 test",90,"no_strata",0.657746601642678,0.641890399320652,1,4.27921427738594,2.92494519523057,0.404543204565784,0.84702390897755,0.855655276371344,0.875703045486625,0.942612724102898,2.21399999991991,814,"rrBLUP-kin",814,"",2,0
"Cauline Leaf number (CL) split=6 train","Cauline Leaf number (CL) split=6 test",90,"no_strata",0.657746601642678,0.641890399320652,1,4.27921427738594,2.92494519523057,0.404543204565784,0.84702390897755,0.855655276371344,0.875703045486625,0.942612724102898,2.21499999985099,814,"rrBLUP-kin",814,"",3,0
"Cauline Leaf number (CL) split=6 train","Cauline Leaf number (CL) split=6 test",90,"no_strata",0.657746601642678,0.641890399320652,1,4.27921427738594,2.92494519523057,0.404543204565784,0.84702390897755,0.855655276371344,0.875703045486625,0.942612724102898,2.21799999987707,814,"rrBLUP-kin",814,"",4,0
"Cauline Leaf number (CL) split=6 train","Cauline Leaf number (CL) split=6 test",90,"no_strata",0.657746601642678,0.641890399320652,1,4.27921427738594,2.92494519523057,0.404543204565784,0.84702390897755,0.855655276371344,0.875703045486625,0.942612724102898,2.21999999997206,814,"rrBLUP-kin",814,"",5,0
"Cauline Leaf number (CL) split=7 train","Cauline Leaf number (CL) split=7 test",90,"no_strata",0.684610842335677,0.719952950748672,1,3.18302747982097,2.27825622131133,0.372805679047405,0.868131092553079,0.875759318985105,0.912333507587659,0.956743541531727,2.21899999980815,814,"rrBLUP-kin",814,"",1,0
"Cauline Leaf number (CL) split=7 train","Cauline Leaf number (CL) split=7 test",90,"no_strata",0.684610842335677,0.719952950748672,1,3.18302747982097,2.27825622131133,0.372805679047405,0.868131092553079,0.875759318985105,0.912333507587659,0.956743541531727,2.2160000000149,814,"rrBLUP-kin",814,"",2,0
"Cauline Leaf number (CL) split=7 train","Cauline Leaf number (CL) split=7 test",90,"no_strata",0.684610842335677,0.719952950748672,1,3.18302747982097,2.27825622131133,0.372805679047405,0.868131092553079,0.875759318985105,0.912333507587659,0.956743541531727,2.21799999987707,814,"rrBLUP-kin",814,"",3,0
"Cauline Leaf number (CL) split=7 train","Cauline Leaf number (CL) split=7 test",90,"no_strata",0.684610842335677,0.719952950748672,1,3.18302747982097,2.27825622131133,0.372805679047405,0.868131092553079,0.875759318985105,0.912333507587659,0.956743541531727,2.2180000001099,814,"rrBLUP-kin",814,"",4,0
"Cauline Leaf number (CL) split=7 train","Cauline Leaf number (CL) split=7 test",90,"no_strata",0.684610842335677,0.719952950748672,1,3.18302747982097,2.27825622131133,0.372805679047405,0.868131092553079,0.875759318985105,0.912333507587659,0.956743541531727,2.26100000017323,814,"rrBLUP-kin",814,"",5,0
"Cauline Leaf number (CL) split=8 train","Cauline Leaf number (CL) split=8 test",90,"no_strata",0.624733860935807,0.647448371974023,1,3.19568661418856,2.37568249804386,0.381554357540202,0.753977978175593,0.81755384161261,0.865623207974501,0.938877424897312,2.22799999988638,814,"rrBLUP-kin",814,"",1,0
"Cauline Leaf number (CL) split=8 train","Cauline Leaf number (CL) split=8 test",90,"no_strata",0.624733860935807,0.647448371974023,1,3.19568661418856,2.37568249804386,0.381554357540202,0.753977978175593,0.81755384161261,0.865623207974501,0.938877424897312,2.22400000016205,814,"rrBLUP-kin",814,"",2,0
"Cauline Leaf number (CL) split=8 train","Cauline Leaf number (CL) split=8 test",90,"no_strata",0.624733860935807,0.647448371974023,1,3.19568661418856,2.37568249804386,0.381554357540202,0.753977978175593,0.81755384161261,0.865623207974501,0.938877424897312,2.21699999994598,814,"rrBLUP-kin",814,"",3,0
"Cauline Leaf number (CL) split=8 train","Cauline Leaf number (CL) split=8 test",90,"no_strata",0.624733860935807,0.647448371974023,1,3.19568661418856,2.37568249804386,0.381554357540202,0.753977978175593,0.81755384161261,0.865623207974501,0.938877424897312,2.2249999998603,814,"rrBLUP-kin",814,"",4,0
"Cauline Leaf number (CL) split=8 train","Cauline Leaf number (CL) split=8 test",90,"no_strata",0.624733860935807,0.647448371974023,1,3.19568661418856,2.37568249804386,0.381554357540202,0.753977978175593,0.81755384161261,0.865623207974501,0.938877424897312,2.22399999992922,814,"rrBLUP-kin",814,"",5,0
"Cauline Leaf number (CL) split=9 train","Cauline Leaf number (CL) split=9 test",90,"no_strata",0.610648804192103,0.610282481491165,1,3.36408265845973,2.51043245456696,0.329452025864402,0.78884338942376,0.814077075870035,0.874829057302795,0.933901665286831,2.22299999999814,814,"rrBLUP-kin",814,"",1,0
"Cauline Leaf number (CL) split=9 train","Cauline Leaf number (CL) split=9 test",90,"no_strata",0.610648804192103,0.610282481491165,1,3.36408265845973,2.51043245456696,0.329452025864402,0.78884338942376,0.814077075870035,0.874829057302795,0.933901665286831,2.21799999987707,814,"rrBLUP-kin",814,"",2,0
"Cauline Leaf number (CL) split=9 train","Cauline Leaf number (CL) split=9 test",90,"no_strata",0.610648804192103,0.610282481491165,1,3.36408265845973,2.51043245456696,0.329452025864402,0.78884338942376,0.814077075870035,0.874829057302795,0.933901665286831,2.21500000008382,814,"rrBLUP-kin",814,"",3,0
"Cauline Leaf number (CL) split=9 train","Cauline Leaf number (CL) split=9 test",90,"no_strata",0.610648804192103,0.610282481491165,1,3.36408265845973,2.51043245456696,0.329452025864402,0.78884338942376,0.814077075870035,0.874829057302795,0.933901665286831,2.22399999992922,814,"rrBLUP-kin",814,"",4,0
